Category	Domain	term	property		EN	ES	FR	KO	PT
Data	base-membership-type	BMT50	prefLabel		Residents 	de residentes	Résidents	거주자 					
Data	base-membership-type	BMT60	prefLabel		Others	Otros	Autres	기타					
													
Data	activities-ica		title		Economic Activity	Actividad económica	Secteur économique	경제활동					
Data	activities-ica		description		The set of economic activities defined by the ICA (L2) to be used with the terms economicSector, primarySector								
Data	activities-ica	ICA10	prefLabel		Agriculture 	Agricultura	Agriculture	농업					
Data	activities-ica	ICA20	prefLabel		Dairy 	Industria lechera	Industrie laitière	축산업					
Data	activities-ica	ICA30	prefLabel		Forestry 	Silvicultura	Foresterie	임업					
Data	activities-ica	ICA40	prefLabel		Irrigation 	Riego	Irrigation	관개사업					
Data	activities-ica	ICA50	prefLabel		Fishing 	Pesca	Pêche	어업					
Data	activities-ica	ICA60	prefLabel		Artisans 	Artesanía	Artisanat	수공업					
Data	activities-ica	ICA70	prefLabel		Construction 	Construcción	Construction	건설업					
Data	activities-ica	ICA80	prefLabel		Industry 	Industria	Industrie	산업					
Data	activities-ica	ICA90	prefLabel		Manufacturing 	Fabricación	Industrie manufacturière	제조업					
Data	activities-ica	ICA100	prefLabel		Mining 	Minería	Exploitation minière	공업					
Data	activities-ica	ICA110	prefLabel		Professional 	Actividades profesionales	Cadres et professions libérales	전문직					
Data	activities-ica	ICA120	prefLabel		Service 	Servicios	Services	서비스업					
Data	activities-ica	ICA130	prefLabel		Tourism 	Turismo	Tourisme	관광업					
Data	activities-ica	ICA140	prefLabel		Financial Services 	Servicios financieros	Services financiers	금융 서비스업					
Data	activities-ica	ICA150	prefLabel		Insurance	Seguros	Assurance	보험					
Data	activities-ica	ICA160	prefLabel		Education 	Educación	Éducation	교육					
Data	activities-ica	ICA170	prefLabel		Health 	Salud	Santé	보건					
Data	activities-ica	ICA180	prefLabel		Community 	Servicios comunitarios	Action communautaire	공동체					
Data	activities-ica	ICA190	prefLabel		Social 	Acción social	Action sociale	사회					
Data	activities-ica	ICA200	prefLabel		Social Service 	Servicios sociales	Services sociaux	사회 서비스업					
Data	activities-ica	ICA210	prefLabel		Housing 	Vivienda	Logement	주택					
Data	activities-ica	ICA220	prefLabel		Transport 	Transporte	Transports	운송					
Data	activities-ica	ICA230	prefLabel		Utilities 	Servicios públicos	Services publics	공공서비스					
Data	activities-ica	ICA240	prefLabel		Retail 	Comercio minorista	Grande distribution	소매					
Data	activities-ica	ICA250	prefLabel		Production 	Producción	Production	생산					
Data	activities-ica	ICA260	prefLabel		Wholesale and retail trade 	Comercio mayorista y minorista	Vente de gros et de détail	도매와 소매 거래					
Data	activities-ica	ICA270	prefLabel		Education / health / social work	Educación, salud y trabajo social	Éducation / Santé / Travail social	교육/보건/사회사업					
Data	activities-ica	ICA280	prefLabel		Other Services 	Otros servicios	Autres services	기타 서비스					
Data	activities-ica	ICA290	prefLabel		All (Services)	Todos los servicios	Tous (services)	모든(서비스)					
													
Data	activities		title		Activities								
Data	activities		description		Activities controlled vocabulary for SSE								
Data	activities	a01	prefLabel		Agriculture and environment	Agricultura y medio ambiente	Agriculture et environnement		Agricultura e ambiente				
Data	activities	a01	altLabel		Agriculture, forestry and fishing								
Data	activities	a01	scopeNote		Integrates the sectors of agriculture, forestry and fishing	Integra los sectores de la agricultura, la silvicultura y la pesca	Intègre les secteurs de l'agriculture, la sylviculture et la pêche		Integra os setores da agricultura, silvicultura e pesca				
Data	activities	a02	prefLabel		Mining and quarrying	Mineria y canteras	Mines et carrières		Indústria extrativa				
Data	activities	a02	altLabel		Mining and quarrying								
Data	activities	a02	scopeNote		Integra sectors of the extractive industry	Integra los sectores de la industria extractiva	Integra secteurs de l'industrie extractive		Integra os setores da Indústria extrativista				
Data	activities	a03	prefLabel		Craftmanship and manufacturing	Producción industrial y artesanal	Artisanat et manifacturier		Artesanato e manufatura				
