term	property		EN	ES	FR	KO	PT
	title		Typology	Tipología	Typologie	유형	
	description		The set of types of memberships to be used with the term baseMembershipType				
BMT10	prefLabel		Consumer/Users 	de consumo/usuarios	Consommateurs/usagers	소비자/사용자	
BMT20	prefLabel		Producers 	de productores	Producteurs	생산자	
BMT30	prefLabel		Workers 	de trabajadores	Travailleurs	노동자	
BMT40	prefLabel		Multi-stakeholders 	de múltiples partes interesadas	Intérêt collectif	다중이해관계자	
BMT50	prefLabel		Residents 	de residentes	Résidents	거주자 	
BMT60	prefLabel		Others	Otros	Autres	기타	
