term	property		EN
86000000	prefLabel		Education and Training Services
86000000	scopeNote		
86100000	definition		Vocational training
86100000	prefLabel		86100000
86110000	definition		Alternative educational systems
86110000	prefLabel		86110000
86120000	definition		Educational institutions
86120000	prefLabel		86120000
86130000	definition		Specialized educational services
86130000	prefLabel		86130000
86140000	definition		Educational facilities
86140000	prefLabel		86140000
90000000	definition		Travel and Food and Lodging and Entertainment Services
90000000	prefLabel		Travel and Food and Lodging and Entertainment Services
90000000	scopeNote		
90100000	definition		Restaurants and catering
90100000	prefLabel		90100000
90110000	definition		Hotels and lodging and meeting facilities
90110000	prefLabel		90110000
90120000	definition		Travel facilitation
90120000	prefLabel		90120000
90130000	definition		Performing arts
90130000	prefLabel		90130000
90140000	definition		Commercial sports
90140000	prefLabel		90140000
91000000	definition		Personal and Domestic Services
91000000	prefLabel		Personal and Domestic Services
91000000	scopeNote		
91100000	definition		Personal appearance
91100000	prefLabel		91100000
91110000	definition		Domestic and personal assistance
91110000	prefLabel		91110000
92000000	definition		Security and Safety Services
92000000	prefLabel		Security and Safety Services
92000000	scopeNote		
92120000	definition		Security and personal safety
92120000	prefLabel		92120000
93000000	definition		Politics and Civic Affairs Services
93000000	prefLabel		Politics and Civic Affairs Services
93000000	scopeNote		
93100000	definition		Political systems and institutions
93100000	prefLabel		93100000
93110000	definition		Socio political conditions
93110000	prefLabel		93110000
93120000	definition		International relations
93120000	prefLabel		93120000
93130000	definition		Humanitarian aid and relief
93130000	prefLabel		93130000
93140000	definition		Community and social services
93140000	prefLabel		93140000
93160000	definition		Taxation
93160000	prefLabel		93160000
93170000	definition		Trade policy and regulation
93170000	prefLabel		93170000
94000000	definition		Organizations and Clubs
94000000	prefLabel		
94000000	scopeNote		
94100000	definition		Work related organizations
94100000	prefLabel		94100000
94110000	definition		Religious organizations
94110000	prefLabel		94110000
94120000	definition		Clubs
94120000	prefLabel		94120000
94130000	definition		Civic organizations and associations and movements
94130000	prefLabel		94130000
95000000	definition		Land and Buildings and Structures and Thoroughfares
95000000	prefLabel		Land and Buildings and Structures and Thoroughfares
95000000	scopeNote		
95100000	definition		Land parcels
95100000	prefLabel		95100000
95110000	definition		Thoroughfares
95110000	prefLabel		95110000
95120000	definition		Permanent buildings and structures
95120000	prefLabel		95120000
95130000	definition		Portable buildings and structures
95130000	prefLabel		95130000
95140000	definition		Prefabricated buildings and structures
95140000	prefLabel		95140000
